District,Town,County,Member,Party,Email,Phone,Committees
16,Brooksville,Hancock County,Nina Azella Milliken,D,Nina.Milliken@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Elections (Member)
8,Brookton Township,Washington County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
82,Brownfield,Oxford County,Nathan J. Wadsworth,R,Nathan.Wadsworth@legislature.maine.gov,207-287-1400,"Bills in the Second Reading (Member); Energy, Utilities and Technology (Member)"
30,Brownville,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
31,Brownville,Piscataquis County,Chad R. Perkins,R,Chad.Perkins@legislature.maine.gov,207-287-1400,Government Oversight Committee (Ranking Member); Criminal Justice and Public Safety (Member)
100,Brunswick (Part),Cumberland County,Daniel J. Ankeles,D,Daniel.Ankeles@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Transportation (Member)
99,Brunswick (Part),Cumberland County,Cheryl A. Golek,D,Cheryl.Golek@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member); Marine Resources (Member)
101,Brunswick (Part),Cumberland County,Poppy Arford,D,Poppy.Arford@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
80,Buckfield,Oxford County,Caldwell Jackson,R,Caldwell.Jackson@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member)"
17,Bucksport,Hancock County,Steven M. Bishop,R,Steven.Bishop@legislature.maine.gov,207-287-1400,Transportation (Member)
18,Burlington,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
68,Burnham,Waldo County,Amanda N. Collamore,R,Amanda.Collamore@legislature.maine.gov,207-287-1400,Ethics (Ranking Member); Housing and Economic Development (Ranking Member)
137,Buxton (Part),York County,Nathan M. Carlow,R,Nathan.Carlow@legislature.maine.gov,207-287-1400,Bills in the Second Reading (Member); Education and Cultural Affairs (Member)
138,Buxton (Part),York County,Mark John Blier,R,Mark.Blier@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
78,Byron,Oxford County,Rachel A. Henderson,R,Rachel.Henderson@legislature.maine.gov,207-287-1400,Judiciary (Member)
9,Calais,Washington County,Arthur Kevin Mingo,R,Arthur.Mingo@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
30,Cambridge,Somerset County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
41,Camden,Knox County,Victoria W. Doudera,D,Vicki.Doudera@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Chair)
69,Canaan,Somerset County,Dean A. Cray,R,dean.cray@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Bills in the Second Reading (Member)"
77,Canton,Oxford County,Tammy L. Schmersal-Burgess,R,Tammy.Schmersal-Burgess@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member)
121,Cape Elizabeth (Part),Cumberland County,Christopher J. Kessler,D,Christopher.Kessler@legislature.maine.gov,207-287-1400,"Bills in the Second Reading (Member); Energy, Utilities and Technology (Member)"
123,Cape Elizabeth (Part),Cumberland County,Michelle Nicole Boyer,D,Michelle.Boyer@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
72,Caratunk,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
4,Caribou,Aroostook County,Timothy C. Guerrette,R,Timothy.Guerrette@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Ranking Member)"
35,Carmel,Penobscot County,James E. Thorne,R,Jim.Thorne@legislature.maine.gov,207-287-1400,Marine Resources (Ranking Member); Inland Fisheries and Wildlife (Member)
73,Carrabassett Valley,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
8,Carroll,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
73,Carrying Place Township,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
74,Carthage,Franklin County,Randall C. Hall,R,Randall.Hall@legislature.maine.gov,207-287-1400,
8,Cary Township,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
86,Casco,Cumberland County,Rolf A. Olsen Jr.,R,Rolf.Olsen@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
16,Castine,Hancock County,Nina Azella Milliken,D,Nina.Milliken@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Elections (Member)
6,Castle Hill,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
3,Caswell,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
10,Cathance Township,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
11,Centerville Township,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
6,Central Aroostook,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
13,Central Hancock,Hancock County,Russell P. White,R,Russell.White@legislature.maine.gov,207-287-1400,Taxation (Member)
72,Central Somerset,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
6,Chapman,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
32,Charleston,Penobscot County,Steven D. Foster,R,Steven.Foster@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Ranking Member)"
10,Charlotte,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
110,Chebeague Island,Cumberland County,Christina R.C. Mitchell,D,Christina.Mitchell@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member)
53,Chelsea,Kennebec County,Michael H. Lemelin,R,Michael.Lemelin@legislature.maine.gov,207-287-1400,Health and Human Services (Ranking Member); Government Oversight Committee (Member)
18,Cherryfield,Washington County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
75,Chesterville,Franklin County,Stephan M. Bunker,D,Stephan.Bunker@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Criminal Justice and Public Safety (Member)"
62,China,Kennebec County,Katrina J. Smith,R,Katrina.Smith@legislature.maine.gov,207-287-1400,Ethics (Member); Joint Select Committee on Joint Rules (Member); Rules and Business of the House (Member)
18,Clifton,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
68,Clinton,Kennebec County,Amanda N. Collamore,R,Amanda.Collamore@legislature.maine.gov,207-287-1400,Ethics (Ranking Member); Housing and Economic Development (Ranking Member)
8,Codyville Township,Washington County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
11,Columbia,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
11,Columbia Falls,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
72,Concord Township,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
3,Connor,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
10,Cooper,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
73,Coplin,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
33,Corinna,Penobscot County,Kenneth Wade Fredette,R,Kenneth.Fredette@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
27,Corinth,Penobscot County,Gary A. Drinkwater,R,Gary.Drinkwater@legislature.maine.gov,207-287-1400,Labor (Ranking Member)
138,Cornish,York County,Mark John Blier,R,Mark.Blier@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
71,Cornville,Somerset County,"John ""Jack"" E. Ducharme III",R,Jack.Ducharme@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Ranking Member)
14,Cranberry Isles,Hancock County,Gary Friedmann,D,Gary.Friedmann@legislature.maine.gov,207-287-1400,Taxation (Member)
10,Crawford,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
42,Criehaven Township,Knox County,Valli D. Geiger,D,Valli.Geiger@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member); Labor (Member)"
2,Cross Lake Township,Aroostook County,Roger Clarence Albert,R,Roger.Albert@legislature.maine.gov,207-287-1400,Transportation (Member)
8,Crystal,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
110,Cumberland,Cumberland County,Christina R.C. Mitchell,D,Christina.Mitchell@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member)
43,Cushing,Knox County,Ann Higgins Matlack,D,Ann.Matlack@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Taxation (Member)
10,Cutler,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
3,Cyr,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
73,Dallas,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
46,Damariscotta,Lincoln County,Lydia V. Crafts,D,Lydia.Crafts@legislature.maine.gov,207-287-1400,Elections (Chair); Transportation (Chair)
8,Danforth,Washington County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
18,Day Block Township,Washington County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
140,Dayton,York County,Wayne R. Parry,R,Wayne.Parry@legislature.maine.gov,207-287-1400,Transportation (Ranking Member)
18,Deblois,Washington County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
18,Dedham,Hancock County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
15,Deer Isle,Hancock County,Holly Rae Eaton,D,Holly.Eaton@legislature.maine.gov,207-287-1400,Marine Resources (Member); Transportation (Member)
83,Denmark,Oxford County,Marygrace Caroline Cimino,R,Marygrace.Cimino@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
73,Dennistown,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
10,Dennysville,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
69,Detroit,Somerset County,Dean A. Cray,R,dean.cray@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Bills in the Second Reading (Member)"
32,Dexter,Penobscot County,Steven D. Foster,R,Steven.Foster@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Ranking Member)"
77,Dixfield,Oxford County,Tammy L. Schmersal-Burgess,R,Tammy.Schmersal-Burgess@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member)
33,Dixmont,Penobscot County,Kenneth Wade Fredette,R,Kenneth.Fredette@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
31,Dover-Foxcroft,Piscataquis County,Chad R. Perkins,R,Chad.Perkins@legislature.maine.gov,207-287-1400,Government Oversight Committee (Ranking Member); Criminal Justice and Public Safety (Member)
53,Dresden,Lincoln County,Michael H. Lemelin,R,Michael.Lemelin@legislature.maine.gov,207-287-1400,Health and Human Services (Ranking Member); Government Oversight Committee (Member)
8,Drew Township,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
98,Durham,Androscoggin County,Kilton M. Webb,D,Kilton.Webb@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member)"
6,Dyer Brook,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
6,E Township,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
1,Eagle Lake,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
73,East Central Franklin,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
18,East Central Penobscot,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
10,East Central Washington,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
18,East Hancock,Hancock County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
10,East Machias,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
18,Eastbrook,Hancock County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
3,Easton,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
9,Eastport,Washington County,Arthur Kevin Mingo,R,Arthur.Mingo@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
19,Eddington,Penobscot County,Richard H. Campbell,R,Richard.Campbell@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Ranking Member); Rules and Business of the House (Ranking Member); Ethics (Member)
48,Edgecomb,Lincoln County,Holly B. Stover,D,Holly.Stover@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member); Ethics (Member); Government Oversight Committee (Member)
28,Edinburg,Penobscot County,Irene A. Gifford,R,Irene.Gifford@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Marine Resources (Member)
10,Edmunds Township,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
150,Eliot,York County,Michele Meyer,D,Michele.Meyer@legislature.maine.gov,207-287-1400,Health and Human Services (Chair)
13,Ellsworth,Hancock County,Russell P. White,R,Russell.White@legislature.maine.gov,207-287-1400,Taxation (Member)
72,Embden,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
28,Enfield,Penobscot County,Irene A. Gifford,R,Irene.Gifford@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Marine Resources (Member)
33,Etna,Penobscot County,Kenneth Wade Fredette,R,Kenneth.Fredette@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
73,Eustis,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
32,Exeter,Penobscot County,Steven D. Foster,R,Steven.Foster@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Ranking Member)"
67,Fairfield,Somerset County,Shelley Rudnicki,R,Shelley.Rudnicki@legislature.maine.gov,207-287-1400,Taxation (Ranking Member)
112,Falmouth (Part),Cumberland County,W. Edward Crockett,U,Ed.Crockett@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member); Taxation (Member)
